DateTime,ExternalT,ExternalRH,ExternalPw,RoomT,RoomRH,RoomPw,DelPw,Season,RetrofitStatus,HomeID,BuiltType,BuiltYear,Occupants,Income,RoomType,RoomDPT
2015-12-15T22:00:00Z,11.9,96,1.34,18.5,60,1.28,0.08,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.6
2015-06-06T01:00:00Z,7.9,76,0.82,20.5,42,1,-0.31,Non-Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7
2015-03-28T19:00:00Z,8.6,86,0.96,20.5,47,1.13,-0.2,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,8.8
2016-07-09T18:00:00Z,20,74,1.71,24.4,62,1.89,-0.16,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,16.6
2016-02-09T10:00:00Z,2.7,89,0.66,15.1,41,0.7,-0.09,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,2
2015-10-07T17:00:00Z,10.5,80,1.02,22,52,1.38,-0.43,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.8
2015-03-02T02:00:00Z,1.2,94,0.63,17,38,0.74,-0.17,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,2.6
2016-07-09T08:00:00Z,16.5,89,1.67,22,62,1.65,-0.03,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.4
2015-06-02T18:00:00Z,11.9,67,0.93,20,48,1.12,-0.24,Non-Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,8.7
2016-04-05T22:00:00Z,8,72,0.77,22,42,1.11,-0.45,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,8.5
2015-05-18T21:00:00Z,6.5,88,0.85,19,49,1.08,-0.2,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,8
2016-09-20T11:00:00Z,15,50,0.85,20.5,52,1.24,-0.52,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.2
,6.8,97,0.96,17,52,1.01,-0.07,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.1
2016-03-24T18:00:00Z,7,80,0.8,15.8,54,0.98,-0.2,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.6
